confirmed,deaths,timestamp,province_state,long,country_region,timestamp.date,lat,recovered
23,3,1587470400,null,-61.7964,Antigua and Barbuda,2020-04-21,17608.0,7
717,37,1587470400,null,1.5218,Andorra,2020-04-21,42.5063,282
2811,392,1587470400,null,1.6596000000000002,Algeria,2020-04-21,28339.0,1152
609,26,1587470400,null,20.1683,Albania,2020-04-21,41.1533,345
1092,36,1587470400,null,65.0,Afghanistan,2020-04-21,33.0,150
86,5,1587470400,Bermuda,-64.7505,United Kingdom,2020-04-21,32.3078,37
884,38,1587470400,null,9.0,Tunisia,2020-04-21,34.0,148
254,10,1587470400,null,34.8888,Tanzania,2020-04-21,-6.369,11
107,12,1587470400,null,30.2176,Sudan,2020-04-21,12.8628,8
15,0,1587470400,null,-60.9789,Saint Lucia,2020-04-21,13.9094,13
97,1,1587470400,French Guiana,-53.1258,France,2020-04-21,3.9339,76
307,9,1587470400,Isle of Man,-4.5481,United Kingdom,2020-04-21,54.2361,209
311,4,1587470400,Mayotte,45.1662,France,2020-04-21,-12.8275,117
9242,498,1587470400,null,24.9668,Romania,2020-04-21,45.9432,2153
1199,14,1587470400,null,19.699,Slovakia,2020-04-21,48.669,258
9125,11,1587470400,null,103.8333,Singapore,2020-04-21,1.2833,839
50,0,1587470400,null,-11.779889,Sierra Leone,2020-04-21,8.460555,6
412,5,1587470400,null,-14.4524,Senegal,2020-04-21,14.4974,242
11631,109,1587470400,null,45.0,Saudi Arabia,2020-04-21,24.0,1640
476,40,1587470400,null,12.4578,San Marino,2020-04-21,43.9424,62
12,0,1587470400,null,-61.2872,Saint Vincent and the Grenadines,2020-04-21,12.9843,2
150,0,1587470400,null,29.8739,Rwanda,2020-04-21,-1.9403000000000001,84
52763,456,1587470400,null,90.0,Russia,2020-04-21,60.0,3873
